file,,name,,tag1,tag2,tag3,tag4,,tag5,tag6,tag7,tag8,tag9
Flag_of_World_Taiwanese_Congress.svg,,World Taiwanese Congress (Taiwan independence flag),,unofficial,,,,,,,,,
International_Flag_of_Planet_Earth.svg,,Planed Earth,,unofficial,,,,,,,,,
Proposed_flag_of_Antarctica_(Graham_Bartram).svg,,Antarctica,,unofficial,,,,,,,,,
shir-o-khorshid-flag-1024x586-1.png,,Persia (Iran protest flag),,unofficial,,,,,,,,,
Syrian_revolution_flag.svg,,Syrian revolution flag,,unofficial,,,,,,,,,
Macao.png,,Macao,,,,asiaTerritories,asiaAll,territories,,,,,
Hong_Kong.png,,Hong Kong protest flag,,,,asiaTerritories,asiaAll,territories,,,,,
Flag_of_Anguilla.svg,,Anguilla,,,,naTerritories,naAll,territories,unionJack,,,,
Flag_of_Aruba.svg,,Aruba,,,,naTerritories,naAll,territories,,,,,
Flag_of_Bermuda.svg,,Bermuda,,,,naTerritories,naAll,territories,unionJack,,,,
Flag_of_Bonaire.svg,,Bonaire,,,,naTerritories,naAll,territories,,,,,
Flag_of_Christmas_Island.svg,,Christmas Island,,,,oceaniaTerritories,oceaniaAll,territories,,,,,
Flag_of_Curacao.svg,,Curacao,,,,naTerritories,naAll,territories,,,,,
Flag_of_FLNKS.svg,,New Caledonia (unofficial),,unofficial,,oceaniaTerritories,oceaniaAll,territories,,,,,
Flag_of_French_Guiana.svg,,French Guiana (unofficial),,unofficial,,saTerritories,saAll,territories,,,,,
Flag_of_French_Polynesia.svg,,French Polynesia,,,,oceaniaTerritories,oceaniaAll,territories,,,,,
Flag_of_Guadeloupe_(local)_variant.svg,,Guadeloupe (unofficial),,unofficial,,naTerritories,naAll,territories,,,,,
Flag_of_Mayotte_(Local).svg,,Mayotte (unofficial),,unofficial,,naTerritories,naAll,territories,,,,,
Flag_of_Niue.svg,,Niue,,,,oceaniaTerritories,oceaniaAll,territories,unionJack,,,,
Flag_of_Norfolk_Island.svg,,Norfolk Island,,,,oceaniaTerritories,oceaniaAll,territories,,,,,
Flag_of_Saint_Barth‚lemy_(Local).svg,,Saint Barthélemy (unofficial),,unofficial,,naTerritories,naAll,territories,,,,,
Flag_of_Sint_Maarten.svg,,Sint Maarten,,,,naTerritories,naAll,territories,,,,,
Flag_of_the_Azores.svg,,Azores,,,,europeTerritories,europeAll,territories,,,,,
Flag_of_the_British_Virgin_Islands.svg,,British Virgin Islands,,,,naTerritories,naAll,territories,unionJack,,,,
Flag_of_the_Canary_Islands.svg,,Canary Islands,,,,africaTerritories,africaAll,territories,,,,,
Flag_of_the_Cayman_Islands.svg,,Cayman Islands,,,,naTerritories,naAll,territories,unionJack,,,,
Flag_of_the_Cocos_(Keeling)_Islands.svg,,Cocos Islands,,,,oceaniaTerritories,oceaniaAll,territories,,,,,
Flag_of_the_Commissioner_of_the_British_Indian_Ocean_Territory.svg,,British Indian Ocean territory,,,,asiaTerritories,asiaAll,territories,unionJack,,,,
Flag_of_the_Cook_Islands.svg,,Cook Islands,,,,oceaniaTerritories,oceaniaAll,territories,unionJack,,,,
Flag_of_the_Falkland_Islands.svg,,Falkland Islands,,,,saTerritories,saAll,territories,unionJack,,,,
Flag_of_Tokelau.svg,,Tokelau,,,,oceaniaTerritories,oceaniaAll,territories,unionJack,,,,
Flag_of_Wallis_and_Futuna.svg,,Wallis and Futuna (unofficial),,unofficial,,oceaniaTerritories,oceaniaAll,territories,,,,,
Flag-of-Martinique.svg,,Martinique,,,,naTerritories,naAll,territories,,,,,
Proposed_flag_of_R‚union_(VAR).svg,,Réunion,,,,asiaTerritories,asiaAll,territories,,,,,
Wake_Island.svg,,Wake Island,,,,oceaniaTerritories,oceaniaAll,territories,,,,,
United_States_Virgin_Islands.svg,,United States Virgin Islands,,,,naTerritories,naAll,territories,,,,,
Puerto_Rico.svg,,Puerto Rico,,,,naTerritories,naAll,territories,,,,,
Northern_Mariana_Islands.svg,,Northern Mariana Islands,,,,oceaniaTerritories,oceaniaAll,territories,,,,,
Midway_Islands_(local).svg,,Midway Islands,,,,oceaniaTerritories,oceaniaAll,territories,,,,,
Guam.svg,,Guam,,,,oceaniaTerritories,oceaniaAll,territories,,,,,
American_Samoa.svg,,American Samoa,,,,oceaniaTerritories,oceaniaAll,territories,,,,,
